trial_number,value,params,state
31,0.015141278973411923,"{'lr': 0.0003145607062625702, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12866763697110617, 'batch_size': 16}",1
32,0.028418523015312128,"{'lr': 0.0005588783295313132, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12202389180631623, 'batch_size': 16}",1
33,0.03752580183855672,"{'lr': 0.0009228526586410958, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.15675161325813652, 'batch_size': 16}",1
34,0.2504642688565784,"{'lr': 0.0001680802210399781, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1273289156448852, 'batch_size': 16}",2
35,0.11108081580864058,"{'lr': 0.00023519657651007637, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.14612118687951225, 'batch_size': 16}",2
36,0.4084247218237983,"{'lr': 0.00035116488872946974, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 16, 'dropout': 0.24862506163702844, 'batch_size': 16}",2
37,1.397045996454027,"{'lr': 0.0001502404622843016, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.2695023469442615, 'batch_size': 16}",2
38,2.210874597231547,"{'lr': 0.0005222696823124108, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.14651244637448912, 'batch_size': 64}",2
39,2.969202995300293,"{'lr': 6.38200833040791e-05, 'num_layers': 7, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 4, 'dropout': 0.17177255310170364, 'batch_size': 128}",2
40,2.479314261012607,"{'lr': 0.0007322000878088481, 'num_layers': 3, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 16, 'dropout': 0.2332498206131996, 'batch_size': 16}",2
41,0.01839924798372926,"{'lr': 0.0002784348116582363, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.13182784516339946, 'batch_size': 16}",1
42,0.02067285345239927,"{'lr': 0.00026614116723927696, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.104452215136024, 'batch_size': 16}",1
43,0.15070896368059847,"{'lr': 0.0003793687813607102, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1630643992149036, 'batch_size': 16}",2
44,0.021974245915771462,"{'lr': 0.0004596128720533125, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.15085266198253428, 'batch_size': 16}",1
45,2.5489567518234253,"{'lr': 0.00017216281275168533, 'num_layers': 8, 'embed_size': 768, 'dim_feedforward': 512, 'nhead': 4, 'dropout': 0.13746072977894422, 'batch_size': 128}",2
46,1.3418276111284893,"{'lr': 0.00011817098654933517, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.20503804856386934, 'batch_size': 16}",2
47,1.8136391242345173,"{'lr': 0.0002665260689160027, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.12582926866994024, 'batch_size': 64}",2
48,1.3088467253579035,"{'lr': 9.40069451350828e-05, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11474552095527453, 'batch_size': 16}",2
49,2.5011237462361655,"{'lr': 0.0007627719896421883, 'num_layers': 3, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1710095265654476, 'batch_size': 16}",2
50,2.6457889080047607,"{'lr': 0.00020194812463141798, 'num_layers': 10, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 16, 'dropout': 0.21219602881596444, 'batch_size': 128}",2
51,0.0158997972709282,"{'lr': 0.000286001984646864, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.13954143810655076, 'batch_size': 16}",1
52,0.061424184907486454,"{'lr': 0.00027361217566319667, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1309743571667914, 'batch_size': 16}",2
53,1.0808857613139682,"{'lr': 0.0003664139935827637, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1129943458776713, 'batch_size': 16}",2
54,0.031503807815978585,"{'lr': 0.0005010970499969258, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1602527869227232, 'batch_size': 16}",1
55,1.3472587532467313,"{'lr': 0.00013798707714000234, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.14258604394513474, 'batch_size': 16}",2
56,1.7143567005793254,"{'lr': 0.00023003859244440458, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.17830567239395337, 'batch_size': 64}",2
57,1.1154223216904535,"{'lr': 0.00018467044443439394, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.16510403551009084, 'batch_size': 16}",2
58,2.452224055926005,"{'lr': 0.0003883246171909165, 'num_layers': 4, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1984151103311719, 'batch_size': 16}",2
59,1.0620727274152968,"{'lr': 0.0003276745995909135, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.22347081718397988, 'batch_size': 16}",2
